Source,Target,Type
容器技术,edge_computing,Undirected
容器技术,KubeEdge,Undirected
容器技术,Kubernetes,Undirected
容器技术,OpenYurt,Undirected
容器技术,工业物联网,Undirected
容器技术,物联网,Undirected
容器技术,边缘计算,Undirected
工业物联网,物联网,Undirected
工业物联网,2026-04-12,Undirected
工业物联网,5G技术,Undirected
工业物联网,人工智能,Undirected
工业物联网,大数据分析,Undirected
工业物联网,物联网,Undirected
工业物联网,物联网基础,Undirected
工业物联网,边缘计算,Undirected
工业物联网,预测性维护,Undirected
工业物联网实施挑战,物联网,Undirected
工业物联网实施挑战,2026-04-12,Undirected
工业物联网实施挑战,industrial_iot,Undirected
工业物联网实施挑战,协议转换网关,Undirected
工业物联网实施挑战,工业物联网,Undirected
工业物联网实施挑战,数据孤岛问题,Undirected
工业物联网实施挑战,物联网,Undirected
工业物联网实施挑战,边缘计算,Undirected
工业物联网应用,物联网,Undirected
工业物联网应用,工业物联网,Undirected
工业物联网应用,物联网,Undirected
数字孪生,物联网,Undirected
数字孪生,2026-04-12,Undirected
数字孪生,industrial_iot,Undirected
数字孪生,工业物联网,Undirected
数字孪生,物联网,Undirected
数字孪生,边缘计算,Undirected
数字孪生,预测性维护,Undirected
数据孤岛问题,物联网,Undirected
数据孤岛问题,industrial_iot,Undirected
数据孤岛问题,协议转换网关,Undirected
数据孤岛问题,工业物联网,Undirected
数据孤岛问题,工业物联网实施挑战,Undirected
数据孤岛问题,物联网,Undirected
数据窃听,物联网,Undirected
数据窃听,物联网,Undirected
数据窃听,物联网安全,Undirected
智能交通,物联网,Undirected
智能交通,2026-04-12,Undirected
智能交通,5G技术,Undirected
智能交通,RFID技术,Undirected
智能交通,人工智能,Undirected
智能交通,传感器技术,Undirected
智能交通,大数据分析,Undirected
智能交通,物联网,Undirected
智能交通,物联网基础,Undirected
智能交通,边缘计算,Undirected
智能交通,通信技术,Undirected
智能医疗,物联网,Undirected
智能医疗,2026-04-12,Undirected
智能医疗,人工智能,Undirected
智能医疗,传感器技术,Undirected
智能医疗,大数据分析,Undirected
智能医疗,物联网,Undirected
智能医疗,物联网基础,Undirected
智能家居,物联网,Undirected
智能家居,2026-04-12,Undirected
智能家居,云计算,Undirected
智能家居,人工智能,Undirected
智能家居,传感器技术,Undirected
智能家居,物联网,Undirected
智能家居,物联网基础,Undirected
智能家居,通信技术,Undirected
物联网,2026-04-12,Undirected
物联网,5G技术,Undirected
物联网,RFID技术,Undirected
物联网,云计算,Undirected
物联网,人工智能,Undirected
物联网,传感器技术,Undirected
物联网,大数据分析,Undirected
物联网,工业物联网,Undirected
物联网,智能交通,Undirected
物联网,智能医疗,Undirected
物联网,智能家居,Undirected
物联网,物联网基础,Undirected
物联网,物联网安全,Undirected
物联网,环境监测,Undirected
物联网,边缘计算,Undirected
物联网,通信技术,Undirected
物联网基础,物联网,Undirected
物联网基础,物联网,Undirected
物联网安全,物联网,Undirected
物联网安全,DDoS攻击,Undirected
物联网安全,Mirai僵尸网络,Undirected
物联网安全,僵尸网络,Undirected
物联网安全,安全启动,Undirected
物联网安全,物联网,Undirected
物联网安全,硬件安全模块,Undirected
环境监测,物联网,Undirected
环境监测,2026-04-12,Undirected
环境监测,传感器技术,Undirected
环境监测,大数据分析,Undirected
环境监测,物联网,Undirected
环境监测,物联网基础,Undirected
环境监测,通信技术,Undirected
生产过程优化,物联网,Undirected
生产过程优化,industrial_iot,Undirected
生产过程优化,人工智能,Undirected
生产过程优化,工业物联网,Undirected
生产过程优化,数字孪生,Undirected
生产过程优化,物联网,Undirected
生产过程优化,精确时间协议,Undirected
生产过程优化,边缘计算,Undirected
硬件安全模块,物联网,Undirected
硬件安全模块,安全启动,Undirected
硬件安全模块,物联网,Undirected
硬件安全模块,物联网安全,Undirected
精确时间协议,物联网,Undirected
精确时间协议,industrial_iot,Undirected
精确时间协议,工业物联网,Undirected
精确时间协议,物联网,Undirected
精确时间协议,生产过程优化,Undirected
精确时间协议,边缘计算,Undirected
设备劫持,物联网,Undirected
设备劫持,固件篡改,Undirected
设备劫持,物联网,Undirected
设备劫持,物联网安全,Undirected
边缘计算,物联网,Undirected
边缘计算,2026-04-12,Undirected
边缘计算,5G技术,Undirected
边缘计算,云计算,Undirected
边缘计算,物联网,Undirected
边缘计算,物联网基础,Undirected
边缘计算技术,边缘计算,Undirected
边缘计算挑战,物联网,Undirected
边缘计算挑战,2026-04-12,Undirected
边缘计算挑战,edge_computing,Undirected
边缘计算挑战,容器技术,Undirected
边缘计算挑战,工业物联网,Undirected
边缘计算挑战,工业物联网实施挑战,Undirected
边缘计算挑战,物联网,Undirected
边缘计算挑战,边缘计算,Undirected
通信技术,物联网,Undirected
通信技术,2026-04-12,Undirected
通信技术,5G技术,Undirected
通信技术,物联网,Undirected
通信技术,物联网基础,Undirected
通信技术,边缘计算,Undirected
预测性维护,物联网,Undirected
预测性维护,2026-04-12,Undirected
预测性维护,industrial_iot,Undirected
预测性维护,工业物联网,Undirected
预测性维护,数字孪生,Undirected
预测性维护,物联网,Undirected
预测性维护,边缘计算,Undirected
